Agricultural Region,Municipality,Neighborhood,Crop,Scientific Name,Production unit,Production,Production in pounds,Production in kilograms,Planted cuerdas,Planted hectares,Planted square feet,Harvested cuerdas,Harvested hectares,Harvested square feet
Utuado,Adjuntas,Capáez,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,44,17.3,"1,861,482.76",42,16.52,"1,776,869.90"
Utuado,Adjuntas,Capáez,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,63,24.75,"2,665,304.87",60,23.57,"2,538,385.59"
Utuado,Adjuntas,Garzas,Coffee - shade grown,Coffea spp.,Quintal,56,"5,600.00","2,540.13",36,14.15,"1,523,031.35",11,4.32,"465,370.70"
Utuado,Adjuntas,Garzas,Coffee - sun grown,Coffea spp.,Quintal,427,"42,759.00","19,395.14",122,47.95,"5,161,384.02",103,40.49,"4,357,561.91"
Utuado,Adjuntas,Guayabo Dulce,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,227,89.24,"9,603,558.79",227,89.24,"9,603,558.79"
Utuado,Adjuntas,Guayo,Coffee - trees in nursery,Coffea spp.,Uno,"100,000",0,0,0.24,0.09,"10,000.00",0,0,0
Utuado,Adjuntas,Guayo,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,112,44.02,"4,738,319.76",106,41.66,"4,484,481.19"
Utuado,Adjuntas,Guilarte,Coffee - shade grown,Coffea spp.,Quintal,160,"16,000.00","7,257.47",40,15.72,"1,692,257.05",39,15.33,"1,649,950.63"
Utuado,Adjuntas,Guilarte,Coffee - sun grown,Coffea spp.,Quintal,632,"63,200.00","28,667.01",144,56.62,"6,092,125.42",144,56.62,"6,092,125.42"
Utuado,Adjuntas,Juan González,Coffee - sun grown,Coffea spp.,Quintal,607,"60,700.00","27,533.04",68,26.75,"2,876,837.01",65,25.57,"2,749,917.72"
Utuado,Adjuntas,Limaní,Coffee - shade grown,Coffea spp.,Quintal,15,"1,500.00",680.39,7,2.75,"296,144.98",5,1.97,"211,532.13"
Utuado,Adjuntas,Limaní,Coffee - sun grown,Coffea spp.,Quintal,233,"23,306.00","10,571.43",78,30.65,"3,299,901.27",68.5,26.92,"2,897,990.22"
Utuado,Adjuntas,Pellejas,Coffee - shade grown,Coffea spp.,Quintal,52,"5,200.00","2,358.68",12,4.72,"507,677.11",8,3.14,"338,451.41"
Utuado,Adjuntas,Pellejas,Coffee - sun grown,Coffea spp.,Quintal,191,"19,100.00","8,663.60",41.5,16.31,"1,755,716.68",34.5,13.56,"1,459,571.70"
Utuado,Adjuntas,Portillo,Coffee - shade grown,Coffea spp.,Quintal,131,"13,132.00","5,956.57",31,12.18,"1,311,499.21",30,11.79,"1,269,192.78"
Utuado,Adjuntas,Portillo,Coffee - sun grown,Coffea spp.,Quintal,"1,114","111,418.00","50,538.33",278,109.28,"11,761,186.54",263.5,103.59,"11,147,743.35"
Utuado,Adjuntas,Portugués,Coffee - sun grown,Coffea spp.,Quintal,46,"4,650.00","2,109.20",23,9.03,"973,047.82",19,7.46,"803,822.11"
Utuado,Adjuntas,Saltillo,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,28,11.01,"1,184,579.94",23,9.05,"973,047.81"
Utuado,Adjuntas,Saltillo,Coffee - sun grown,Coffea spp.,Quintal,709,"70,950.00","32,182.37",153,60.17,"6,472,883.24",139.35,54.8,"5,895,400.52"
Utuado,Adjuntas,Tanamá,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,136,53.47,"5,753,673.99",118.5,46.58,"5,013,311.54"
Utuado,Adjuntas,Tanamá,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,585.25,230.07,"24,759,836.06",572.05,224.88,"24,201,391.23"
Utuado,Adjuntas,Vegas Abajo,Coffee - sun grown,Coffea spp.,Quintal,291,"29,139.00","13,217.22",85,33.42,"3,596,046.25",83,32.64,"3,511,433.39"
Utuado,Adjuntas,Vegas Arriba,Coffee - shade grown,Coffea spp.,Quintal,27,"2,700.00","1,224.70",8,3.15,"338,451.41",7,2.75,"296,144.99"
Utuado,Adjuntas,Vegas Arriba,Coffee - sun grown,Coffea spp.,Quintal,254,"25,439.00","11,538.93",70.5,27.72,"2,982,603.08",62.5,24.57,"2,644,151.67"
Utuado,Adjuntas,Yahuecas,Coffee - shade grown,Coffea spp.,Quintal,139,"13,900.00","6,304.92",28.5,11.2,"1,205,733.14",26.5,10.42,"1,121,120.29"
Utuado,Adjuntas,Yahuecas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,273.61,107.58,"11,575,461.33",258.5,101.65,"10,936,211.22"
Utuado,Adjuntas,Yayales,Coffee - sun grown,Coffea spp.,Quintal,474,"47,400.00","21,500.28",99,38.91,"4,188,336.22",96,37.73,"4,061,416.94"
Mayagüez,Aguada,Cerro Gordo,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Mayagüez,Aguada,Lagunas,Coffee - shade grown,Coffea spp.,Quintal,8,800,362.87,7,2.76,"296,144.98",5,1.97,"211,532.13"
Mayagüez,Aguada,Lagunas,Coffee - sun grown,Coffea spp.,Quintal,7,700,317.51,10,3.93,"423,064.26",10,3.93,"423,064.26"
Caguas,Aguas Buenas,Juan Asencio,Coffee - shade grown,Coffea spp.,Quintal,7,700,317.51,10,3.93,"423,064.26",8,3.14,"338,451.41"
Caguas,Aguas Buenas,Juan Asencio,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,2,0.79,"84,612.85",0,0,0
Caguas,Aguas Buenas,Sonadora,Coffee - sun grown,Coffea spp.,Quintal,20,"2,000.00",907.18,7,2.75,"296,144.98",7,2.75,"296,144.98"
Mayagüez,Añasco,Casey Abajo,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Mayagüez,Añasco,Casey Abajo,Coffee - sun grown,Coffea spp.,Quintal,75,"7,500.00","3,401.94",16,6.29,"676,902.82",16,6.29,"676,902.82"
Mayagüez,Añasco,Cerro Gordo,Coffee - shade grown,Coffea spp.,Quintal,25,"2,500.00","1,133.98",5,1.97,"211,532.13",5,1.97,"211,532.13"
Mayagüez,Añasco,Cerro Gordo,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,20,7.86,"846,128.53",10,3.93,"423,064.27"
Mayagüez,Añasco,Corcovada,Coffee - shade grown,Coffea spp.,Quintal,2,200,90.72,1,0.39,"42,306.43",1,0.39,"42,306.43"
Mayagüez,Añasco,Corcovada,Coffee - sun grown,Coffea spp.,Quintal,50,"5,070.00","2,299.71",12.25,4.82,"518,253.72",12.25,4.82,"518,253.72"
Mayagüez,Añasco,Dagüey,Coffee - sun grown,Coffea spp.,Quintal,14,"1,400.00",635.03,10,3.93,"423,064.26",9,3.54,"380,757.84"
Mayagüez,Añasco,Espino,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,10,3.93,"423,064.26",10,3.93,"423,064.26"
Mayagüez,Añasco,Humatas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Mayagüez,Añasco,Ovejas,Coffee - sun grown,Coffea spp.,Quintal,25,"2,500.00","1,133.98",10,3.93,"423,064.26",10,3.93,"423,064.26"
Mayagüez,Añasco,Río Arriba,Coffee - sun grown,Coffea spp.,Quintal,9,900,408.23,3.5,1.38,"148,072.49",2.5,0.99,"105,766.06"
Arecibo,Arecibo,Río Arriba,Coffee - shade grown,Coffea spp.,Quintal,4,400,181.44,2,0.79,"84,612.85",2,0.79,"84,612.85"
Arecibo,Arecibo,Río Arriba,Coffee - sun grown,Coffea spp.,Quintal,31,"3,111.00","1,411.12",16,6.29,"676,902.82",16,6.29,"676,902.82"
Arecibo,Arecibo,Sabana Hoyos,Coffee - sun grown,Coffea spp.,Quintal,40,"4,000.00","1,814.37",17,6.69,"719,209.25",15,5.9,"634,596.40"
Arecibo,Barceloneta,Florida Afuera,Coffee - sun grown,Coffea spp.,Quintal,240,"24,000.00","10,886.21",47,18.47,"1,988,402.04",47,18.47,"1,988,402.04"
Naranjito,Barranquitas,Helechal,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Naranjito,Barranquitas,Helechal,Coffee - sun grown,Coffea spp.,Quintal,20,"2,000.00",907.18,4,1.57,"169,225.71",4,1.57,"169,225.71"
Naranjito,Barranquitas,Quebradillas,Coffee - sun grown,Coffea spp.,Quintal,10,"1,000.00",453.59,9,3.54,"380,757.83",2,0.79,"84,612.85"
Caguas,Canóvanas,Hato Puerco,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,2,0.79,"84,612.85",0,0,0
Caguas,Cayey,Culebras Bajo,Coffee - shade grown,Coffea spp.,Quintal,1,100,45.36,2,0.79,"84,612.85",2,0.79,"84,612.85"
Caguas,Cayey,Guavate,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Caguas,Cayey,Matón Abajo,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Caguas,Cayey,Pasto Viejo,Coffee - sun grown,Coffea spp.,Quintal,3,375,170.1,1,0.39,"42,306.43",1,0.39,"42,306.43"
Utuado,Ciales,Cialitos,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,66,25.96,"2,792,224.15",56,22.02,"2,369,159.88"
Utuado,Ciales,Cialitos,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,24.5,9.63,"1,036,507.44",12,4.72,"507,677.11"
Utuado,Ciales,Frontón,Coffee - trees in nursery,Coffea spp.,Uno,"150,000",0,0,0.95,0.37,"40,000.00",0,0,0
Utuado,Ciales,Frontón,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,49,19.26,"2,073,014.90",33,12.96,"1,396,112.09"
Utuado,Ciales,Frontón,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,57.5,22.59,"2,432,619.54",52,20.43,"2,199,934.19"
Utuado,Ciales,Jaguas,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,6,2.36,"253,838.56",0,0,0
Utuado,Ciales,Pesas,Coffee - sun grown,Coffea spp.,Quintal,15,"1,500.00",680.39,2,0.79,"84,612.85",2,0.79,"84,612.85"
Utuado,Ciales,Pozas,Coffee - shade grown,Coffea spp.,Quintal,245,"24,500.00","11,113.02",67.5,26.53,"2,855,683.78",61.5,24.18,"2,601,845.21"
Utuado,Ciales,Pozas,Coffee - sun grown,Coffea spp.,Quintal,72,"7,239.00","3,283.56",18,7.08,"761,515.68",18,7.08,"761,515.68"
Ponce,Coamo,Coamo Arriba,Coffee - shade grown,Coffea spp.,Quintal,7,700,317.51,2,0.79,"84,612.85",2,0.79,"84,612.85"
Ponce,Coamo,Coamo Arriba,Coffee - sun grown,Coffea spp.,Quintal,5,513,232.69,2,0.79,"84,612.85",2,0.79,"84,612.85"
Ponce,Coamo,Hayales,Coffee - shade grown,Coffea spp.,Quintal,85,"8,528.00","3,868.24",32,12.58,"1,353,805.64",32,12.58,"1,353,805.64"
Ponce,Coamo,Hayales,Coffee - sun grown,Coffea spp.,Quintal,81,"8,137.00","3,690.88",27.5,10.82,"1,163,426.73",27.5,10.82,"1,163,426.73"
Ponce,Coamo,Los Llanos,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,41,16.11,"1,734,563.48",0,0,0
Ponce,Coamo,Palmarejo,Coffee - shade grown,Coffea spp.,Quintal,9,909,412.32,1,0.39,"42,306.43",1,0.39,"42,306.43"
Ponce,Coamo,Palmarejo,Coffee - sun grown,Coffea spp.,Quintal,9,908,411.86,1,0.39,"42,306.43",1,0.39,"42,306.43"
Ponce,Coamo,Pedro García,Coffee - shade grown,Coffea spp.,Quintal,4,408,185.07,1.5,0.59,"63,459.64",1.5,0.59,"63,459.64"
Ponce,Coamo,Pedro García,Coffee - sun grown,Coffea spp.,Quintal,68,"6,838.00","3,101.67",30,11.79,"1,269,192.80",29,11.4,"1,226,886.37"
Ponce,Coamo,Pulguillas,Coffee - shade grown,Coffea spp.,Quintal,28,"2,850.00","1,292.74",5.5,2.17,"232,685.34",5.5,2.17,"232,685.34"
Ponce,Coamo,Pulguillas,Coffee - sun grown,Coffea spp.,Quintal,10,"1,000.00",453.59,0.5,0.2,"21,153.21",0.5,0.2,"21,153.21"
Naranjito,Comerío,Vega Redonda,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,11,4.32,"465,370.69",0,0,0
Naranjito,Corozal,Palmarito,Coffee - sun grown,Coffea spp.,Quintal,588,"58,800.00","26,671.21",5,1.97,"211,532.13",5,1.97,"211,532.13"
Caguas,Guayama,Carite,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
San Germán,Guayanilla,Jagua Pasto,Coffee - trees in nursery,Coffea spp.,Uno,175,0,0,1,0.39,"42,305.00",0,0,0
San Germán,Guayanilla,Jagua Pasto,Coffee - shade grown,Coffea spp.,Quintal,5,555,251.74,20,7.86,"846,128.53",20,7.86,"846,128.53"
San Germán,Guayanilla,Jagua Pasto,Coffee - sun grown,Coffea spp.,Quintal,631,"63,100.00","28,621.65",221,86.87,"9,349,720.23",185,72.72,"7,826,688.88"
San Germán,Guayanilla,Pasto,Coffee - trees in nursery,Coffea spp.,Uno,"320,000",0,0,1.5,0.59,"63,459.00",0,0,0
San Germán,Guayanilla,Pasto,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,7,2.75,"296,144.98",0,0,0
San Germán,Guayanilla,Pasto,Coffee - sun grown,Coffea spp.,Quintal,182,"18,225.00","8,266.72",133,52.28,"5,626,754.71",76,29.86,"3,215,288.41"
San Germán,Guayanilla,Quebrada Honda,Coffee - sun grown,Coffea spp.,Quintal,137,"13,700.00","6,214.21",38,14.94,"1,607,644.20",38,14.94,"1,607,644.20"
San Germán,Hormigueros,Jaguitas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,2,0.79,"84,612.85",0,0,0
San Germán,Hormigueros,Lavadero,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,8,3.14,"338,451.41",0,0,0
Mayagüez,Isabela,Galateo Alto,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,10,3.93,"423,064.26",0,0,0
Mayagüez,Isabela,Planas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Utuado,Jayuya,Coabey,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,2,0.79,"84,612.85",0,0,0
Utuado,Jayuya,Coabey,Coffee - sun grown,Coffea spp.,Quintal,847,"84,700.00","38,419.24",135,53.06,"5,711,367.57",95,37.34,"4,019,110.51"
Utuado,Jayuya,Collores,Coffee - shade grown,Coffea spp.,Quintal,38,"3,820.00","1,732.73",20,7.85,"846,128.54",20,7.85,"846,128.54"
Utuado,Jayuya,Collores,Coffee - sun grown,Coffea spp.,Quintal,244,"24,400.00","11,067.64",68,26.71,"2,876,837.00",54,21.22,"2,284,547.03"
Utuado,Jayuya,Jauca,Coffee - shade grown,Coffea spp.,Quintal,7,750,340.19,1.5,0.59,"63,459.64",1.5,0.59,"63,459.64"
Utuado,Jayuya,Jauca,Coffee - sun grown,Coffea spp.,Quintal,28,"2,800.00","1,270.06",6,2.36,"253,838.56",6,2.36,"253,838.56"
Utuado,Jayuya,Barrio Pueblo,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",0,0,0
Utuado,Jayuya,Jayuya Abajo,Coffee - trees in nursery,Coffea spp.,Uno,"300,000",0,0,2,0.79,"84,600.00",1.65,0.65,"70,000.00"
Utuado,Jayuya,Jayuya Abajo,Coffee - sun grown,Coffea spp.,Quintal,54,"5,400.00","2,449.40",23,9.05,"973,047.80",11,4.32,"465,370.69"
Utuado,Jayuya,Mameyes Arriba,Coffee - trees in nursery,Coffea spp.,Uno,"400,000",0,0,0.78,0.31,"33,000.00",0,0,0
Utuado,Jayuya,Mameyes Arriba,Coffee - shade grown,Coffea spp.,Quintal,93,"9,385.00","4,256.96",40.5,15.93,"1,713,410.26",30.5,11.99,"1,290,346.00"
Utuado,Jayuya,Mameyes Arriba,Coffee - sun grown,Coffea spp.,Quintal,566,"56,685.00","25,711.88",141.78,55.73,"5,998,205.12",127.78,50.23,"5,405,915.16"
Utuado,Jayuya,Pica,Coffee - shade grown,Coffea spp.,Quintal,40,"4,000.00","1,814.37",15.5,6.09,"655,749.61",12,4.72,"507,677.11"
Utuado,Jayuya,Pica,Coffee - sun grown,Coffea spp.,Quintal,18,"1,800.00",816.47,15,5.89,"634,596.40",15,5.89,"634,596.40"
Utuado,Jayuya,Río Grande,Coffee - shade grown,Coffea spp.,Quintal,17,"1,714.00",777.45,9,3.54,"380,757.84",9,3.54,"380,757.84"
Utuado,Jayuya,Saliente,Coffee - shade grown,Coffea spp.,Quintal,40,"4,000.00","1,814.37",15,5.9,"634,596.39",15,5.9,"634,596.39"
Utuado,Jayuya,Saliente,Coffee - sun grown,Coffea spp.,Quintal,"1,075","107,563.00","48,789.71",216,84.91,"9,138,188.12",201,79,"8,503,591.71"
Utuado,Jayuya,Veguitas,Coffee - shade grown,Coffea spp.,Quintal,4,420,190.51,4.5,1.77,"190,378.92",4.5,1.77,"190,378.92"
Utuado,Jayuya,Veguitas,Coffee - sun grown,Coffea spp.,Quintal,82,"8,200.00","3,719.46",25,9.82,"1,057,660.66",21,8.25,"888,434.96"
Utuado,Jayuya,Zamas,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,3,1.18,"126,919.28",0,0,0
Utuado,Jayuya,Zamas,Coffee - sun grown,Coffea spp.,Quintal,55,"5,500.00","2,494.76",8,3.15,"338,451.41",8,3.15,"338,451.41"
Ponce,Juana Díaz,Collores,Coffee - trees in nursery,Coffea spp.,Uno,"180,000",0,0,2,0.79,"84,610.00",0,0,0
Ponce,Juana Díaz,Collores,Coffee - shade grown,Coffea spp.,Quintal,860,"86,000.00","39,008.91",113.5,44.61,"4,801,779.39",111.5,43.83,"4,717,166.54"
Ponce,Juana Díaz,Collores,Coffee - sun grown,Coffea spp.,Quintal,"1,660","166,000.00","75,296.27",319,125.39,"13,495,750.03",265,104.15,"11,211,202.98"
Lares,Lares,Bartolo,Coffee - shade grown,Coffea spp.,Quintal,377,"37,700.00","17,100.41",94,36.95,"3,976,804.07",94,36.95,"3,976,804.07"
Lares,Lares,Bartolo,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,511.5,201.06,"21,639,737.11",499.5,196.33,"21,132,060.01"
Lares,Lares,Buenos Aires,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,89.59,35.21,"3,790,232.75",89.59,35.21,"3,790,232.75"
Lares,Lares,Buenos Aires,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,644,253.14,"27,245,338.62",524,205.97,"22,168,567.45"
Lares,Lares,Callejones,Coffee - shade grown,Coffea spp.,Quintal,3,325,147.42,0.75,0.29,"31,729.82",0.75,0.29,"31,729.82"
Lares,Lares,Callejones,Coffee - sun grown,Coffea spp.,Quintal,112,"11,200.00","5,080.23",6,2.36,"253,838.56",3,1.18,"126,919.28"
Lares,Lares,Espino,Coffee - shade grown,Coffea spp.,Quintal,127,"12,726.00","5,772.41",46.5,18.27,"1,967,248.84",44,17.29,"1,861,482.77"
Lares,Lares,Espino,Coffee - sun grown,Coffea spp.,Quintal,"1,617","161,725.00","73,357.17",259.75,102.1,"10,989,094.27",234.75,92.27,"9,931,433.61"
Lares,Lares,Lares,Coffee - sun grown,Coffea spp.,Quintal,277,"27,700.00","12,564.50",53,20.83,"2,242,240.60",48,18.86,"2,030,708.47"
Lares,Lares,Barrio Pueblo,Coffee - shade grown,Coffea spp.,Quintal,12,"1,200.00",544.31,7,2.75,"296,144.99",6,2.36,"253,838.56"
Lares,Lares,La Torre,Coffee - shade grown,Coffea spp.,Quintal,148,"14,850.00","6,735.85",26.5,10.41,"1,121,120.31",26.5,10.41,"1,121,120.31"
Lares,Lares,La Torre,Coffee - sun grown,Coffea spp.,Quintal,720,"72,074.00","32,692.21",200,78.61,"8,461,285.29",186,73.11,"7,868,995.32"
Lares,Lares,Mirasol,Coffee - shade grown,Coffea spp.,Quintal,17,"1,700.00",771.1,11,4.33,"465,370.69",6,2.36,"253,838.56"
Lares,Lares,Mirasol,Coffee - sun grown,Coffea spp.,Quintal,590,"59,091.00","26,803.20",209.5,82.35,"8,863,196.34",196.5,77.24,"8,313,212.79"
Lares,Lares,Pezuela,Coffee - shade grown,Coffea spp.,Quintal,113,"11,310.00","5,130.14",42,16.49,"1,776,869.93",42,16.49,"1,776,869.93"
Lares,Lares,Pezuela,Coffee - sun grown,Coffea spp.,Quintal,"1,812","181,281.00","82,227.61",582.25,228.88,"24,632,916.76",575.13,226.07,"24,331,483.47"
Lares,Lares,Río Prieto,Coffee - shade grown,Coffea spp.,Quintal,159,"15,900.00","7,212.13",48.5,19.05,"2,051,861.69",48.5,19.05,"2,051,861.69"
Lares,Lares,Río Prieto,Coffee - sun grown,Coffea spp.,Quintal,"1,074","107,441.00","48,734.37",252,99.06,"10,661,219.45",245,96.32,"10,365,074.47"
Lares,Las Marías,Alto Sano,Coffee - shade grown,Coffea spp.,Quintal,154,"15,400.00","6,985.32",44.5,17.49,"1,882,635.97",34,13.36,"1,438,418.50"
Lares,Las Marías,Alto Sano,Coffee - sun grown,Coffea spp.,Quintal,296,"29,600.00","13,426.33",68.5,26.93,"2,897,990.22",57.5,22.61,"2,432,619.53"
Lares,Las Marías,Anones,Coffee - sun grown,Coffea spp.,Quintal,76,"7,617.00","3,455.01",24.5,9.63,"1,036,507.45",24.5,9.63,"1,036,507.45"
Lares,Las Marías,Bucarabones,Coffee - shade grown,Coffea spp.,Quintal,53,"5,300.00","2,404.04",10.6,4.17,"448,448.12",10.6,4.17,"448,448.12"
Lares,Las Marías,Bucarabones,Coffee - sun grown,Coffea spp.,Quintal,198,"19,850.00","9,003.81",31,12.19,"1,311,499.21",27,10.62,"1,142,273.51"
Lares,Las Marías,Buena Vista,Coffee - shade grown,Coffea spp.,Quintal,86,"8,600.00","3,900.89",35.5,13.95,"1,501,878.14",17.5,6.88,"740,362.46"
Lares,Las Marías,Buena Vista,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,27.5,10.82,"1,163,426.73",15.5,6.1,"655,749.61"
Lares,Las Marías,Cerrote,Coffee - shade grown,Coffea spp.,Quintal,146,"14,683.00","6,660.09",58,22.82,"2,453,772.72",53,20.85,"2,242,240.59"
Lares,Las Marías,Cerrote,Coffee - sun grown,Coffea spp.,Quintal,335,"33,511.00","15,200.32",102,40.11,"4,315,255.50",85.5,33.61,"3,617,199.46"
Lares,Las Marías,Chamorro,Coffee - sun grown,Coffea spp.,Quintal,5,500,226.8,8,3.14,"338,451.41",3,1.18,"126,919.28"
Lares,Las Marías,Espino,Coffee - shade grown,Coffea spp.,Quintal,30,"3,000.00","1,360.78",10,3.93,"423,064.26",10,3.93,"423,064.26"
Lares,Las Marías,Espino,Coffee - sun grown,Coffea spp.,Quintal,15,"1,500.00",680.39,3,1.18,"126,919.28",3,1.18,"126,919.28"
Lares,Las Marías,Furnias,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,25,9.83,"1,057,660.66",19,7.47,"803,822.11"
Lares,Las Marías,Furnias,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,111.5,43.84,"4,717,166.55",96.5,37.94,"4,082,570.16"
Lares,Las Marías,Maravilla Este,Coffee - shade grown,Coffea spp.,Quintal,10,"1,000.00",453.59,2,0.79,"84,612.85",2,0.79,"84,612.85"
Lares,Las Marías,Maravilla Este,Coffee - sun grown,Coffea spp.,Quintal,110,"11,000.00","4,989.51",54,21.22,"2,284,547.03",26,10.21,"1,099,967.09"
Lares,Las Marías,Maravilla Norte,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,1,0.39,"42,306.43",1,0.39,"42,306.43"
Lares,Las Marías,Maravilla Sur,Coffee - shade grown,Coffea spp.,Quintal,32,"3,200.00","1,451.50",15.5,6.1,"655,749.61",8.5,3.34,"359,604.63"
Lares,Las Marías,Maravilla Sur,Coffee - sun grown,Coffea spp.,Quintal,203,"20,300.00","9,207.92",65,25.54,"2,749,917.72",57,22.4,"2,411,466.31"
Lares,Las Marías,Naranjales,Coffee - trees in nursery,Coffea spp.,Uno,"220,000",0,0,1.5,0.59,"63,459.00",0,0,0
Lares,Las Marías,Naranjales,Coffee - shade grown,Coffea spp.,Quintal,20,"2,000.00",907.18,5,1.96,"211,532.14",4,1.57,"169,225.71"
Lares,Las Marías,Naranjales,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,148.5,58.36,"6,282,504.31",146,57.38,"6,176,738.25"
Lares,Las Marías,Palma Escrita,Coffee - shade grown,Coffea spp.,Quintal,224,"22,400.00","10,160.46",35.7,14.03,"1,510,339.42",33.5,13.16,"1,417,265.29"
Lares,Las Marías,Palma Escrita,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,103.5,40.67,"4,378,715.16",81.5,32.03,"3,447,973.76"
Lares,Las Marías,Purísima Concepción,Coffee - shade grown,Coffea spp.,Quintal,24,"2,400.00","1,088.62",8,3.14,"338,451.41",8,3.14,"338,451.41"
Lares,Las Marías,Río Cañas,Coffee - shade grown,Coffea spp.,Quintal,2,200,90.72,8,3.14,"338,451.41",8,3.14,"338,451.41"
Lares,Las Marías,Río Cañas,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,5,1.97,"211,532.13",0,0,0
Caguas,Luquillo,Pitahaya,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,3,1.18,"126,919.28",0,0,0
Lares,Maricao,Bucarabones,Coffee - shade grown,Coffea spp.,Quintal,78,"7,800.00","3,538.02",28.5,11.2,"1,205,733.15",27.5,10.81,"1,163,426.73"
Lares,Maricao,Bucarabones,Coffee - sun grown,Coffea spp.,Quintal,96,"9,650.00","4,377.17",50,19.65,"2,115,321.33",36,14.15,"1,523,031.36"
Lares,Maricao,Indiera Alta,Coffee - shade grown,Coffea spp.,Quintal,0,0,0,65.5,25.75,"2,771,070.93",51.5,20.24,"2,178,780.96"
Lares,Maricao,Indiera Alta,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,168,66.03,"7,107,479.63",133,52.3,"5,626,754.70"
Lares,Maricao,Indiera Baja,Coffee - shade grown,Coffea spp.,Quintal,160,"16,033.00","7,272.45",65,25.55,"2,749,917.71",52,20.44,"2,199,934.18"
Lares,Maricao,Indiera Baja,Coffee - sun grown,Coffea spp.,Quintal,0,0,0,284,111.64,"12,015,025.09",233,91.6,"9,857,397.36"
Lares,Maricao,Indiera Fría,Coffee - trees in nursery,Coffea spp.,Uno,"186,000",0,0,1.07,0.42,"45,306.00",0,0,0
Lares,Maricao,Indiera Fría,Coffee - shade grown,Coffea spp.,Quintal,45,"4,500.00","2,041.17",27.75,10.91,"1,174,003.33",27.75,10.91,"1,174,003.33"
Lares,Maricao,Indiera Fría,Coffee - sun grown,Coffea spp.,Quintal,"1,849","184,900.00","83,869.17",610.5,239.97,"25,828,073.31",497.5,195.53,"21,047,447.13"
Lares,Maricao,Maricao Afuera,Coffee - shade grown,Coffea spp.,Quintal,192,"19,200.00","8,708.96",61,23.99,"2,580,692.01",47,18.48,"1,988,402.04"
Lares,Maricao,Maricao Afuera,Coffee - sun grown,Coffea spp.,Quintal,548,"54,800.00","24,856.85",180,70.75,"7,615,156.76",170,66.82,"7,192,092.49"
Lares,Maricao,Montoso,Coffee - shade grown,Coffea spp.,Quintal,55,"5,500.00","2,494.76",34.5,13.57,"1,459,571.71",23,9.05,"973,047.81"
Lares,Maricao,Montoso,Coffee - sun grown,Coffea spp.,Quintal,13,"1,300.00",589.67,7.6,2.99,"321,528.85",6,2.36,"253,838.56"
